Event number,Picked arrival,Tag,Arrival type,IRIS Event ID,file,file_start
173,2019-03-11 16:36:00.000,*,body,11013478,data\DonneesB23\2019-03\2019-03-10\2019-03-10T20_57_31.925000,2019-03-10 20:57:31
174,2019-03-15 05:15:00.000,*,body,11014923,data\DonneesB23\2019-03\2019-03-10\2019-03-10T20_57_31.925000,2019-03-10 20:57:31
175,2019-03-15 18:00:00.000,*,body,11015065,data\DonneesB23\2019-03\2019-03-10\2019-03-10T20_57_31.925000,2019-03-10 20:57:31
176,2019-03-20 19:09:30.000,*,body,11016738,data\DonneesB23\2019-03\2019-03-19\2019-03-19T04_59_40.850000,2019-03-19 04:59:40
177,2019-03-23 07:55:00.000,*,body,11017711,data\DonneesB23\2019-03\2019-03-21\2019-03-21T08_29_59.625000,2019-03-21 08:29:59
178,2019-03-23 19:32:00.000,*,body,11017822,data\DonneesB23\2019-03\2019-03-21\2019-03-21T08_29_59.625000,2019-03-21 08:29:59
179,2019-03-24 04:50:00.000,*,body,11017911,data\DonneesB23\2019-03\2019-03-21\2019-03-21T08_29_59.625000,2019-03-21 08:29:59
180,2019-03-31 15:55:00.000,S1,surface,11020776,data\DonneesB23\2019-03\2019-03-30\2019-03-30T12_29_34,2019-03-30 12:29:34
181,2019-04-05 16:27:00.000,*,body,11022772,data\DonneesB23\2019-04\2019-04-05\2019-04-05T02_00_15.925000,2019-04-05 02:00:15
182,2019-04-08 22:57:00.000,S1,surface,11023834,data\DonneesB23\2019-04\2019-04-05\2019-04-05T02_00_15.925000,2019-04-05 02:00:15
183,2019-04-22 09:28:00.000,*,body,11028716,data\DonneesB23\2019-04\2019-04-22\2019-04-22T04_26_39.800000,2019-04-22 04:26:39
184,2019-04-23 05:05:00.000,S1,surface,11028990,data\DonneesB23\2019-04\2019-04-22\2019-04-22T12_20_05.175000,2019-04-22 12:20:05
185,2019-04-26 06:58:40.000,S1,surface,11030576,data\DonneesB23\2019-04\2019-04-25\2019-04-25T19_05_14.200000,2019-04-25 19:05:14
186,2019-04-26 06:58:40.000,S1,surface,11030576,data\DonneesB23\2019-04\2019-04-25\2019-04-25T19_05_14.200000,2019-04-25 19:05:14
187,2019-04-27 11:19:00.000,S1,surface,11031077,data\DonneesB23\2019-04\2019-04-27\2019-04-27T09_13_17.350000,2019-04-27 09:13:17
188,2019-05-04 04:45:30.000,S1,surface,11033566,data\DonneesB23\2019-05\2019-05-02\2019-05-02T01_01_11.475000,2019-05-02 01:01:11
189,2019-05-10 00:37:00.000,S1,surface,11035661,data\DonneesB23\2019-05\2019-05-09\2019-05-09T23_48_36.950000,2019-05-09 23:48:36
